Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-08667,Nashville Warbler,04.10.2016,10/4/16 6:30 AM,A,F,155 N. Wacker (S sd),Chicago,Collision - building,Released
2016-08668,Brown Creeper,04.10.2016,10/3/16 2 PM,UNK,UNK,5435 N. Artesian (W sd),Chicago,Collision - building,Released
2016-08669,Nashville Warbler,04.10.2016,10/3/16 8:55 AM,A,F,230 W. Monroe (W sd),Chicago,Collision - building,Released
2016-08670,Nashville Warbler,04.10.2016,10/4/16 7 AM,A,F,100 S. Riverside (W sd),Chicago,Collision - building,Released
2016-08671,Winter Wren,04.10.2016,10/4/16 8:30 AM,UNK,UNK,Willis (S sd),Chicago,Collision - building,Released
2016-08672,Brown Creeper,04.10.2016,10/3/16 4:15 PM,UNK,UNK,Kluczynski (E sd),Chicago,Collision - building,Released
2016-08673,Brown Creeper,04.10.2016,10/3/16 3:10 PM,UNK,UNK,71 S. Wacker,Chicago,Collision - building,Released
2016-08674,Brown Creeper,04.10.2016,10/3/16 3:10 PM,UNK,UNK,219 S. Dearborn (S sd),Chicago,Collision - building,Released
2016-08692,Slate-colored Junco,04.10.2016,10/4/16 1:30 PM,YoY,F,311 S. Wacker (N sd),Chicago,Collision - building,Released
2016-08697,Ruby-crowned Kinglet,05.10.2016,10/5/16 10 AM,A,F,353 N. Clardk St (W sd),Chicago,Collision - building,Died before exam
2016-08698,Yellow-bellied Sapsucker,05.10.2016,10/5/16,YoY,M,601 W. Belden,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08699, White-throated Sparrow,05.10.2016,10/4/16 2:10 PM,YoY,UNK,219 S. Dearborn (E sd),Chicago,Collision - building,Died before exam
2016-08700,Swamp Sparrow,05.10.2016,10/5/16,YoY,UNK,McKinley & Dirksen,Chicago,Collision - building,Released
2016-08701,Hermit Thrush,05.10.2016,10/5/16,YoY,UNK,154 W Hubbard - N,Chicago,Collision - building,Died within 24 hours
2016-08702,Nashville Warbler,05.10.2016,10/4/16 7:10 PM,A,F,321 N. Clark,Chicago,Collision - building,Released
2016-08703,House Wren,05.10.2016,10/4/16 7:15 AM,UNK,UNK,300 S. Riverside (E sd),Chicago,Collision - building,Released
2016-08704,House Finch,05.10.2016,10/5/16 7:16 AM,YoY,M,311 S. Wacker (NE corner),Chicago,Collision - building,Released
2016-08705,Ovenbird,05.10.2016,10/4/16 6:30 AM,A,UNK,303 W Madison - E,Chicago,Collision - building,Released
2016-08706, White-throated Sparrow,05.10.2016,10/4/16 6:30 AM,YoY,UNK,30 W Monroe,Chicago,Collision - building,Released
2016-08707, White-throated Sparrow,05.10.2016,10/4/16,YoY,UNK,,Chicago,Collision - building,Released
2016-08708,Red-breasted Nuthatch,05.10.2016,10/4/16 9:30 AM,A,F,300 N Wabash,Chicago,Collision - building,Released
2016-08709,Nashville Warbler,05.10.2016,10/4/16 7:15 AM,A,UNK,225 Michigan Plaza - n,Chicago,Collision - building,Released
2016-08710, White-throated Sparrow,05.10.2016,10/4/16,YoY,UNK,130 S Canal _ West,Chicago,Collision - building,Released
2016-08718,Brown Creeper,06.10.2016,10/5/16 2:30 PM,UNK,UNK,3122 N Ashland,Chicago,Collision - building,Died within 24 hours
2016-08719,Common Yellowthroat,06.10.2016,10/6/16 7:15 AM,UNK,UNK,120 S Riverside Pl,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08721,Swamp Sparrow,06.10.2016,10/6/16 6:15 AM,YoY,UNK,1 S Wacker - N,Chicago,Collision - building,Released
2016-08722,Tennessee Warbler,06.10.2016,10/6/16 7:45 AM,A,F,333 Wacker - N,Chicago,Collision - building,Released
2016-08723,Brown Thrasher,06.10.2016,10/6/16 12:20 PM,A,UNK,Mariano River East,Chicago,Collision - building,Released
2016-08725,Golden-crowned Kinglet,06.10.2016,10/6/16 3:55 PM,A,M,901 Warrenville E,Lisle,Unknown,Died after 24 hrs
2016-08726,Yellow-bellied Sapsucker,06.10.2016,10/6/16 1:30 PM,YoY,UNK,Northwestern University,Chicago,Collision - building,Released
2016-08727,Yellow-bellied Sapsucker,06.10.2016,10/6/16,YoY,F,1013 Judson,Evanston,Collision - building,Died after 24 hrs
2016-08733,Hermit Thrush,07.10.2016,10/6/16 9:45 AM,A,UNK,,River North,Collision - building,Released
2016-08734,Northern Waterthrush,07.10.2016,10/7/16 9:20 AM,UNK,UNK,"540 W Madison, South side",Chicago,Collision - building,Released
2016-08735,Hermit Thrush,07.10.2016,10/7/16 8:22 AM,YoY,UNK,"540 W. Madison, South side",Chicago,Collision - building,Released
2016-08736,Golden-crowned Kinglet,07.10.2016,10/6/16 AM,A,M,303 E. Wacker,Chicago,Collision - building,Died within 24 hours
2016-08737,Brown Creeper,07.10.2016,10/6/16 AM,UNK,UNK,303 E. Wacker,Chicago,Collision - building,Died within 24 hours
2016-08739,Hermit Thrush,07.10.2016,10/7/16 5:40 AM,YoY,UNK,Post Office (N sd),Chicago,Collision - building,Released
2016-08740,Brown Creeper,07.10.2016,10/6/16 8:45 AM,UNK,UNK,1532 Melrose (S sd),Chicago,Collision - building,Released
2016-08741, White-throated Sparrow,07.10.2016,10/7/16 5:40 AM,YoY,UNK,300 S. Riverside (W sd),Chicago,Collision - building,Released
2016-08742,Tennessee Warbler,07.10.2016,10/7/16 7:50 AM,YoY,UNK,303 E. Wacker,Chicago,Collision - building,Released
2016-08743,Brown Creeper,07.10.2016,10/6/16 3 PM,UNK,UNK,Hyatt Garage,Chicago,Collision - building,Released
2016-08745,American Goldfinch,07.10.2016,10/7/16 12 PM,UNK,UNK,"3200 Highland, East side",Downers Grove,Collision - building,Released
2016-08752,Cedar Waxwing,07.10.2016,10/7/16 2 PM,YoY,UNK,"901 Warrenville, East side",Lisle,Collision - building,Died after 24 hrs
2016-08754,Great Horned Owl,08.10.2016,10/7/16 4 PM,A,UNK,,Crete,Entanglement - string,Euthanized after 24 hours
2016-08756,Yellow-bellied Sapsucker,08.10.2016,10/7/16 9 PM,YoY,F,Haddon x Ashland,Chicago,Collision - building,Released
2016-08757,Hermit Thrush,08.10.2016,10/8/16 7:30 AM,A,UNK,"111 East Wacker, East side",Chicago,Collision - building,Released
2016-08758,Golden-crowned Kinglet,08.10.2016,10/8/16 8:30 AM,A,UNK,233 Michicgan - E side,Chicago,Collision - building,Died before exam
2016-08759,Yellow-shafted Flicker,08.10.2016,10/8/16 9:08 AM,A,UNK,10 S Riverside - E,Chicago,Collision - building,Died before exam
2016-08760,Yellow-shafted Flicker,08.10.2016,10/8/16 7:31 AM,YoY,F,10 S Riverside,Chicago,Collision - building,Released
2016-08761,Yellow-bellied Sapsucker,08.10.2016,10/8/16 3 PM,YoY,F,2312 N Greenview,Chicago,Collision - building,Died after 24 hrs
2016-08762, White-throated Sparrow,08.10.2016,10/8/16 7:30 AM,YoY,UNK,233 Michigan Plaza - N,Chicago,Collision - building,Released
2016-08764,Red-tailed Hawk,08.10.2016,10/8/16,UNK,UNK,Humboldt Park,Chicago,Gunshot,Euthanized within 24 hour of admit
2016-08766,Golden-crowned Kinglet,08.10.2016,10/8/16 11:30 AM,YoY,UNK,"Hilton, SW corner of Maple/Univ",Evanston,Collision - building,Died after 24 hrs
2016-08767,Ovenbird,08.10.2016,10/8/16 7:45 AM,A,UNK,"360 E. Randolph, South side",Chicago,Collision - building,Released
2016-08768,Yellow-bellied Sapsucker,08.10.2016,10/8/16 8 AM,A,F,201 N Westshore - South Side,Chicago,Collision - building,Released
2016-08769, White-throated Sparrow,08.10.2016,10/8/16 7:34 AM,YoY,UNK,123 N Wacker - E,Chicago,Collision - building,Released
2016-08770,Tennessee Warbler,08.10.2016,10/7/16 2:30 PM,YoY,UNK,??,Chicago,Collision - building,Released
2016-08771,Blackpoll Warbler,08.10.2016,10/8/16,YoY,UNK,??,Chicago,Collision - building,Released
2016-08772, White-throated Sparrow,08.10.2016,10/8/16 6:20 AM,YoY,UNK,Michigan Ave - N & E North Wate,Chicago,Collision - building,Released
2016-08773, White-throated Sparrow,08.10.2016,10/8/16 8:57 AM,YoY,UNK,311 S Wacker - south,Chicago,Collision - building,Released
2016-08774,Brown Creeper,08.10.2016,10/8/16 8:35 AM,UNK,UNK,125 S Wacker - s,Chicago,Collision - building,Released
2016-08775, White-throated Sparrow,08.10.2016,10/7/16 9:45 AM,YoY,UNK,Dirksen - N,Chicago,Collision - building,Released
2016-08776,Purple Finch,08.10.2016,10/8/16 7:45 AM,YoY,UNK,120 S Riverside - N,Chicago,Collision - building,Released
2016-08777,Red-breasted Nuthatch,08.10.2016,10/7/16 10:45 AM,YoY,UNK,Trump Tower,Chicago,Collision - building,Released
2016-08778,Swamp Sparrow,08.10.2016,10/8/16 6:40 AM,YoY,UNK,(Post Office) Fed Plaza - N,Chicago,Collision - building,Released
2016-08779,Common Yellowthroat,08.10.2016,10/8/16 9 AM,YoY,UNK,Boeing - E,Chicago,Collision - building,Released
2016-08780,Ruby-crowned Kinglet,08.10.2016,10/8/16 8 AM,A,M,400 S LaSalle - N,Chicago,Collision - building,Released
2016-08781,Brown Creeper,08.10.2016,10/8/16 7:45 AM,UNK,UNK,Aon - Lower Level,Chicago,Collision - building,Released
2016-08782,Yellow-rumped/ Myrtle Warbler,08.10.2016,10/8/16 6:45 AM,UNK,UNK,111 E Wacker - s,Chicago,Collision - building,Released
2016-08783,Common Yellowthroat,08.10.2016,10/8/16 7:20 AM,YoY,UNK,Hyatt - W,Chicago,Collision - building,Released
2016-08784,Yellow-bellied Sapsucker,08.10.2016,10/8/16 7:19 AM,A,M,Michigan Plaza - n,Chicago,Collision - building,Released
2016-08785,Golden-crowned Kinglet,08.10.2016,10/8/16 7:40 AM,YoY,UNK,1 S Dearbourn - E,Chicago,Collision - building,Released
2016-08786,Magnolia Warbler,08.10.2016,10/8/16 6 AM,UNK,UNK,300 S Riverside  _north,Chicago,Collision - building,Released
2016-08787,Yellow-bellied Sapsucker,08.10.2016,10/7/16,A,F,(Chicago Technical Academy) 55 W Cermak,Chicago,Collision - building,Released
2016-08788,Lincoln's Sparrow,08.10.2016,10/8/16,YoY,UNK,,Chicago,Collision - building,Released
2016-08789,Hermit Thrush,08.10.2016,10/7/16 10 AM,YoY,UNK,4422 Racine - E,Chicago,Collision - building,Released
2016-08790, White-throated Sparrow,08.10.2016,10/8/16 7:45 AM,YoY,UNK,"120 S. Riverside, North side",Chicago,Collision - building,Released
2016-08791,Yellow-bellied Sapsucker,08.10.2016,10/8/16 7:25 AM,YoY,M,"Hyatt Center, East side",Chicago,Collision - building,Released
2016-08792, White-throated Sparrow,08.10.2016,10/8/16 6:50 AM,YoY,UNK,"Michigan Plaza, North side",Chicago,Collision - building,Released
2016-08793, White-throated Sparrow,08.10.2016,10/8/16 7:50 AM,YoY,UNK,"500 W. Monroe, East side",Chicago,Collision - building,Released
2016-08794,Blackpoll Warbler,08.10.2016,10/8/16 9:15 AM,YoY,UNK,"10 S. Riverside, South side",Chicago,Collision - building,Released
2016-08800,Yellow-bellied Sapsucker,09.10.2016,10/8/16 2 PM,A,M,4555 N Lincoln - W,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08801,Tennessee Warbler,09.10.2016,10/9/16 12 PM,YoY,UNK,1740 W Balmoral,Chicago,Collision - building,Died within 24 hours
2016-08802,Lincoln's Sparrow,09.10.2016,10/9/16,YoY,UNK,Willis Tower - w,Chicago,Collision - building,Died within 24 hours
2016-08804,Cooper's Hawk,09.10.2016,10/8/16 3:20 PM,YoY,UNK,220 E Chicago Ave. - W,Chicago,Unknown,Released
2016-08805,Great Horned Owl,09.10.2016,10/9/16 10:15 AM,A,UNK,102 Sonoma Dr.,Romeoville,Entanglement - soccer net,Released
2016-08806, White-throated Sparrow,09.10.2016,10/8/16 9 AM,YoY,UNK,311 S. Wacker,Chicago,Collision - building,Released
2016-08807,Grasshopper Sparrow,09.10.2016,10/9/16 7:55 AM,YoY,UNK,363 N. Clark (W sd),Chicago,Collision - building,Died after 24 hrs
2016-08808,Golden-crowned Kinglet,09.10.2016,10/9/16 8 AM,A,M,300 E. Ohio,Chicago,Collision - building,Died before exam
2016-08809,Yellow-bellied Sapsucker,09.10.2016,10/8/16,YoY,M,Unknown,Chicago,Collision - building,Released
2016-08810,Hermit Thrush,09.10.2016,10/9/16 8:30 AM,YoY,UNK,225 N. Michigan (E sd),Chicago,Collision - building,Released
2016-08812,Yellow-bellied Sapsucker,09.10.2016,10/9/16 12:15 PM,YoY,M,448 Riverdale #5,Glen Ellyn,Collision - building,Died after 24 hrs
2016-08814,Brown Creeper,09.10.2016,10/9/16 9:01 AM,UNK,UNK,111 S Wacker,Chicago,Collision - building,Released
2016-08815, White-throated Sparrow,09.10.2016,10/9/16 6:50 AM,YoY,UNK,311 S Wacker - N,Chicago,Collision - building,Released
2016-08816,Hermit Thrush,09.10.2016,10/9/16 7:50 AM,YoY,UNK,311 S Wacker,Chicago,Collision - building,Released
2016-08817, White-throated Sparrow,09.10.2016,10/9/16 6 AM,YoY,UNK,540 w Madison - S,Chicago,Collision - building,Released
2016-08818, White-throated Sparrow,09.10.2016,10/9/16 7:44 AM,YoY,UNK,500 W Monroe - S,Chicago,Collision - building,Released
2016-08819, White-throated Sparrow,09.10.2016,10/9/16 8:10 AM,YoY,UNK,120 S Riverside Plaza - E,Chicago,Collision - building,Released
2016-08820,Hermit Thrush,09.10.2016,10/9/16 6:23 AM,YoY,UNK,233 N. Michigan (NE Corner),Chicago,Collision - building,Released
2016-08821,Brown Creeper,09.10.2016,10/9/16 9:30 AM,UNK,UNK,30 S. Wacker (S sd),Chicago,Collision - building,Released
2016-08822,Brown Creeper,09.10.2016,10/9/16 6 AM,UNK,UNK,Willis Tower (W sd),Chicago,Collision - building,Released
2016-08823, White-throated Sparrow,09.10.2016,10/9/16 8:03 AM,A,UNK,120 S. Riverside Plaza (S sd),Chicago,Collision - building,Released
2016-08824,Brown Creeper,09.10.2016,10/9/16 7 AM,UNK,UNK,Willis Tower (E sd),Chicago,Collision - building,Released
2016-08825, White-throated Sparrow,09.10.2016,10/9/16 9:32 AM,YoY,UNK,Inside Hyatt West Lobby,Chicago,Collision - building,Released
2016-08826,Hermit Thrush,09.10.2016,10/9/16 10:20 AM,YoY,UNK,71 W. Wacker  (E sd),Chicago,Collision - building,Released
2016-08827, White-throated Sparrow,09.10.2016,10/9/16 6 AM,YoY,UNK,Willis Tower (N sd),Chicago,Collision - building,Released
2016-08828,Brown Creeper,09.10.2016,10/9/16 3 PM,UNK,UNK,330N. Wabash,Chicago,Collision - building,Released
2016-08829,Hermit Thrush,09.10.2016,10/9/16 5:51 AM,YoY,UNK,300 S. Riverside Plaza (S sd),Chicago,Collision - building,Released
2016-08830, White-throated Sparrow,09.10.2016,10/9/16 8:03 AM,YoY,UNK,120 S. Riverside Plaza ((E sd),Chicago,Collision - building,Released
2016-08831,Red-tailed Hawk,09.10.2016,10/9/16,YoY,UNK,Cedar rd & Division St. (167th),Lockport,Unknown,Euthanized within 24 hour of admit
2016-08833,Swamp Sparrow,10.10.2016,10/9/16 6 AM,YoY,UNK,Daly Plaza (N sd),Chicago,Collision - building,Released
2016-08834,Lincoln's Sparrow,10.10.2016,10/9/16 6:15 AM,YoY,UNK,540 W. Madison (S sd),Chicago,Collision - building,Released
2016-08835,Nashville Warbler,10.10.2016,10/9/16 7:32 AM,YoY,UNK,Hyatt,Chicago,Collision - building,Released
2016-08836,Brown Creeper,10.10.2016,10/9/16 9:10 AM,UNK,UNK,311 S. Wacker (W sd),Chicago,Collision - building,Released
2016-08837,Tennessee Warbler,10.10.2016,10/9/16 9:55 AM,YoY,UNK,26 E. Pearson St (S sd),Chicago,Collision - building,Released
2016-08838,Winter Wren,10.10.2016,10/9/16 7 AM,UNK,UNK,311 S. Wacker (N sd),Chicago,Collision - building,Released
2016-08839,Golden-crowned Kinglet,10.10.2016,10/9/16 8 AM,YoY,UNK,300 E. Trib?,Chicago,Collision - building,Released
2016-08840,Lincoln's Sparrow,10.10.2016,10/9/16 7:50 AM,YoY,UNK,Willis Tower (N sd),Chicago,Collision - building,Released
2016-08841,Golden-crowned Kinglet,10.10.2016,10/9/16 8:55 AM,A,F,111 S. Wacker (S sd),Chicago,Collision - building,Released
2016-08842,Black-throated Green Warbler,10.10.2016,10/9/16 8:25 AM,YoY,M,233 N. Michigan (N sd),Chicago,Collision - building,Released
2016-08844,Orange-crowned Warbler,10.10.2016,10/9/16 7:40 AM,A,UNK,"311 S Wacker, nw",Chicago,Collision - building,Released
2016-08845,Nashville Warbler,10.10.2016,10/9/16 6:55 AM,YoY,UNK,"200 S Wacker, west side",Chicago,Collision - building,Released
2016-08846,Winter Wren,10.10.2016,10/9/16 7:09 AM,UNK,UNK,"30 N La Salle, east side",Chicago,Collision - building,Released
2016-08847,Winter Wren,10.10.2016,10/9/16 9 AM,UNK,UNK,inside Aon,Chicago,Collision - building,Released
2016-08848,Swamp Sparrow,10.10.2016,10/9/16 7:35 AM,YoY,UNK,"Daley Center, south side",Chicago,Collision - building,Released
2016-08849,Yellow-rumped/ Myrtle Warbler,10.10.2016,10/9/16 8 AM,YoY,UNK,"311 S Dearborn, west side",Chicago,Collision - building,Released
2016-08850,Winter Wren,10.10.2016,10/9/16 7:40 AM,UNK,UNK,"1 N Wacker, west side",Chicago,Collision - building,Released
2016-08851,Lincoln's Sparrow,10.10.2016,10/9/16 5:40 AM,YoY,UNK,"Aon, east side",Chicago,Collision - building,Released
2016-08852,Swamp Sparrow,10.10.2016,10/9/16 6:55 AM,YoY,UNK,"311 S Wacker, north side",Chicago,Collision - building,Released
2016-08853,Tennessee Warbler,10.10.2016,10/9/16 7:05 AM,YoY,UNK,"Nuveen, north side",Chicago,Collision - building,Released
2016-08854,Lincoln's Sparrow,10.10.2016,10/9/16 7:55 AM,YoY,UNK,120 S Riverside Plaza east side,Chicago,Collision - building,Released
2016-08855,Slate-colored Junco,10.10.2016,10/9/16 6:14 AM,YoY,F,"Chase Plaza, south side",Chicago,Collision - building,Released
2016-08856,Swamp Sparrow,10.10.2016,10/9/16 5 PM,UNK,UNK,500 W. Rand Rd,Arlington Heights,Collision - window,Died after 24 hrs
2016-08859,White-crowned Sparrow,10.10.2016,10/10/16 6:15 AM,YoY,UNK,"Sears, south",Chicago,Collision - building,Released
2016-08860,Gray Catbird,10.10.2016,10/10/16 11:30 AM,A,UNK,"636 W Hubbard, no side",Chicago,Collision - building,Released
2016-08861,Golden-crowned Kinglet,10.10.2016,10/10/16 7:30 AM,A,M,"Clyborn and Ogden, no side",Chicago,Collision - building,Released
2016-08862,Brown Creeper,10.10.2016,10/10/16 8:05 AM,UNK,UNK,"233 Michigan Plaza, south side",Chicago,Collision - building,Died before exam
2016-08863,Brown Creeper,10.10.2016,10/10/16 7:40 AM,UNK,UNK,"30 S Wacker, south side",Chicago,Collision - building,Died within 24 hours
2016-08864,Brown Creeper,10.10.2016,10/10/16 8:15 AM,UNK,UNK,"172 W La Salle, south side",Chicago,Collision - building,Died before exam
2016-08865,Hermit Thrush,10.10.2016,10/9/16 5 PM,YoY,UNK,10100 S Seeley,Chicago,Collision - building,Died after 24 hrs
2016-08866,Cedar Waxwing,10.10.2016,10/9/16 5 PM,YoY,UNK,"801 Warrenville Rd, south side",Lisle,Collision - building,Died within 24 hours
2016-08867,Yellow-bellied Cuckoo,10.10.2016,10/9/16 2 PM,UNK,UNK,Peggy Notaebart,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08869,Golden-crowned Kinglet,10.10.2016,10/10/16 8:55 AM,A,F,Sears North,Chicago,Collision - building,Released
2016-08870, White-throated Sparrow,10.10.2016,10/10/16 6:10 AM,A,UNK,Sears Skydeck West,Chicago,Collision - building,Released
2016-08871, White-throated Sparrow,10.10.2016,10/10/16 7:25 AM,A,UNK,500 W. Monroe (SE corner),Chicago,Collision - building,Released
2016-08872,Brown Creeper,10.10.2016,10/8/16 1:40 PM,UNK,UNK,653 N. Kinsbury,Chicago,Collision - building,Released
2016-08873,Brown Creeper,10.10.2016,10/10/16 7:50 AM,UNK,UNK,320 N. Clark (N sd),Chicago,Collision - building,Released
2016-08874,Brown Creeper,10.10.2016,10/10/16 8:40 AM,UNK,UNK,Daley (N sd),Chicago,Collision - building,Released
2016-08875,House Wren,10.10.2016,10/10/16 7 AM,A,UNK,1 S. Wacker (S sd),Chicago,Collision - building,Released
2016-08876,Brown Creeper,10.10.2016,10/10/16 7:25 AM,UNK,UNK,IBM Building (W sd),Chicago,Collision - building,Released
2016-08877,Brown Creeper,10.10.2016,10/10/16 9:30 AM,UNK,UNK,676 N. Michigan (SW Corner),Chicago,Collision - building,Released
2016-08878,Yellow-bellied Sapsucker,10.10.2016,10/10/16 6:50 AM,YoY,F,659 W. Randolf (W sd),Chicago,Collision - building,Released
2016-08887,Ruby-crowned Kinglet,11.10.2016,10/10/16 6 PM,UNK,UNK,"2648 W Walton, no side",Chicago,Collision - building,Died within 24 hours
2016-08890,Cedar Waxwing,11.10.2016,10/10/16 12 PM,UNK,UNK,"901 Warrenville, east side",Chicago,Collision - building,Released
2016-08898,Yellow-bellied Sapsucker,12.10.2016,10/11/16 11 AM,A,M,UBS - E,Chicago,Collision - building,Died within 24 hours
2016-08899,Nashville Warbler,12.10.2016,10/11/16 2 PM,UNK,UNK,353 N Clark - s,Chicago,Collision - building,Died before exam
2016-08904,Whip-poor-will,12.10.2016,10/11/16 2:30 PM,UNK,UNK,Westin River North,Chicago,Collision - building,Released
2016-08905,Yellow-bellied Sapsucker,12.10.2016,10/12/16 10:55 AM,UNK,UNK,"25 E Cedar ST, north side",Chicago,Collision - building,Died after 24 hrs
2016-08906,Black-throated Green Warbler,12.10.2016,10/12/16 10:30 AM,UNK,UNK,"315 W Chicago Ave, north side",Chicago,Collision - building,Died within 24 hours
2016-08910,American Crow,13.10.2016,10/12/16 8 PM,A,UNK,515 E. Irving Park Road,Itasca,Unknown,Euthanized within 24 hour of admit
2016-08911,Fox Sparrow,13.10.2016,10/13/16 7:10 AM,YoY,UNK,"150 S. Wacker, North side",Chicago,Collision - building,Died within 24 hours
2016-08914, White-throated Sparrow,13.10.2016,10/12/16,A,UNK,300 N. LaSalle,Chicago,Unknown,Released
2016-08915,American Woodcock,13.10.2016,10/13/16 6 AM,UNK,UNK,"225 W. Wacker, North side",Chicago,Unknown,Released
2016-08916,Golden-crowned Kinglet,13.10.2016,10/13/16 8:40 AM,A,M,"333 W. Wacker, SE corner",Chicago,Unknown,Released
2016-08917,Slate-colored Junco,13.10.2016,10/13/16 9:30 AM,YoY,M,"Wacker, west side",Chicago,Unknown,Released
2016-08918,Ruby-crowned Kinglet,13.10.2016,10/13/16 9 AM,A,M,303 E. Wacker,Chicago,Unknown,Released
2016-08919,Hermit Thrush,13.10.2016,10/13/16 6:45 AM,YoY,UNK,"Dirksen, South side",Chicago,Unknown,Released
2016-08920,Ovenbird,13.10.2016,10/13/16 5:35 AM,A,UNK,"1 South Wacker, West side",Chicago,Unknown,Released
2016-08921,Brown Creeper,13.10.2016,10/13/16 AM,UNK,UNK,60 E Monroe,Chicago,Unknown,Released
2016-08922, White-throated Sparrow,13.10.2016,10/13/16 7:05 AM,YoY,UNK,"30 S. Wacker, South side",Chicago,Unknown,Released
2016-08923,Hermit Thrush,13.10.2016,10/13/16 8:05 AM,YoY,UNK,Arcade Alley,Chicago,Unknown,Released
2016-08924,Brown Creeper,13.10.2016,10/13/16 AM,UNK,UNK,60 E Monroe,Chicago,Unknown,Released
2016-08925, White-throated Sparrow,13.10.2016,10/13/16 7:30 AM,YoY,UNK,Westin - N,Chicago,Unknown,Released
2016-08926,Fox Sparrow,13.10.2016,10/13/16 AM,A,UNK,353 N Wacker -,Chicago,Unknown,Released
2016-08927,Hermit Thrush,13.10.2016,10/13/16 7:30 AM,YoY,UNK,233 E Wacker - N,Chicago,Unknown,Released
2016-08928,Slate-colored Junco,13.10.2016,10/13/16 6:30 AM,YoY,UNK,101 N Wacker - W,Chicago,Unknown,Released
2016-08935,American Woodcock,14.10.2016,10/13/16 10 AM,UNK,UNK,W. Des Plaines Avenue,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08936,Brown Creeper,14.10.2016,10/14/16 7:45 AM,UNK,UNK,"340 Randolph, West side",Chicago,Collision - building,Died within 24 hours
2016-08937,Hermit Thrush,14.10.2016,10/14/16 8 AM,YoY,UNK,"1531 N. Dearborn, West side",Chicago,Collision - building,Released
2016-08938,Golden-crowned Kinglet,14.10.2016,10/13/16 5 PM,UNK,UNK,"5640 S. Ellis, NE corner",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08939,Brown Creeper,14.10.2016,10/14/16 8:40 AM,UNK,UNK,"Swiss Hotel, East side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08940,Brown Creeper,14.10.2016,10/14/16 6:35 AM,UNK,UNK,"AMA Plaza, North side",Chicago,Collision - building,Released
2016-08941, White-throated Sparrow,14.10.2016,10/13/16 11 AM,YoY,UNK,"Art Institute, East side",Chicago,Collision - building,Released
2016-08942,Yellow-bellied Sapsucker,14.10.2016,10/13/16 3 PM,YoY,F,330 N. Wabash,Chicago,Collision - building,Died after 24 hrs
2016-08943,Brown Creeper,14.10.2016,10/14/16,UNK,UNK,330 N. LaSalle,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08945,Brown Creeper,14.10.2016,10/14/16 AM,UNK,UNK,303 E Wacker,Chicago,Collision - building,Released
2016-08946,Hermit Thrush,14.10.2016,10/14/16  6:30 AM,YoY,UNK,333 W Wacker - E,Chicago,Collision - building,Released
2016-08947,Brown Creeper,14.10.2016,10/14/16  AM,UNK,UNK,303 E Wacker,Chicago,Collision - building,Released
2016-08948,Ruby-crowned Kinglet,14.10.2016,10/14/16 6:40 AM,A,M,1st National Plaza - S,Chicago,Collision - building,Released
2016-08949,White-throated Sparrow,14.10.2016,10/14/16 8:35 AM,YoY,UNK,311 S Wacker - N,Chicago,Collision - building,Released
2016-08950,Golden-crowned Kinglet,14.10.2016,10/14/16 10 PM,A,UNK,No Info,Chicago,Collision - building,Released
2016-08951,Brown Creeper,14.10.2016,10/14/16 AM,YoY,UNK,300 N. Wabash,Chicago,Unknown,Released
2016-08952,Brown Creeper,14.10.2016,10/14/16 10 AM,UNK,UNK,2117 N. Halsted,Chicago,Unknown,Released
2016-08953,Brown Creeper,14.10.2016,10/14/16 AM,UNK,UNK,300 N. Wabash,Chicago,Unknown,Released
2016-08954,Orange-crowned Warbler,14.10.2016,10/14/16,A,M,9846 Grand,Franklin Park,Unknown,Died within 24 hours
2016-08958,Brown Creeper,15.10.2016,10/15/16 8:35 AM,UNK,UNK,233 Michigan Plaza,Chicago,Collision - building,Died within 24 hours
2016-08959,Hermit Thrush,15.10.2016,10/15/16 8:05 AM,A,UNK,233 Michigan Plaza,Chicago,Collision - building,Died after 24 hrs
2016-08960,Nashville Warbler,15.10.2016,10/15/16 AM,YoY,M,1000 S State,Chicago,Collision - building,Died after 24 hrs
2016-08961,Brown Creeper,15.10.2016,10/15/16 6:45 AM,UNK,UNK,"240 W Randolf, W Side",Chicago,Collision - building,Released
2016-08962,Brown Creeper,15.10.2016,10/14/16 3:30 PM,UNK,UNK,Rush & Ontario,Chicago,Collision - building,Released
2016-08963,Blue-headed Vireo,15.10.2016,10/14/16 1:30 PM,UNK,UNK,1 S Dearborn,Chicago,Collision - building,Released
2016-08964,Brown Creeper,15.10.2016,10/15/16 7:50am,UNK,UNK,"225 Michigan Plaza, N Side",Chicago,Collision - building,Released
2016-08966,Cedar Waxwing,15.10.2016,10/15/16 4pm,A,F,"901 Warrenville, SW",Lisle,Collision - building,Died after 24 hrs
